loinc_num;long_common_name;component;system;property
26464-8;Leukocytes [#/volume] in Blood;Leukocytes;Blood;NCnc
1920-8;Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma;Aspartate aminotransferase;Serum Plasma;CCnc
35184-1;Fasting glucose [Mass or Moles/volume] in Serum or Plasma;Glucose^post CFst;Serum Plasma;MSCnc
26478-8;Lymphocytes/100 leukocytes in Blood;Lymphocytes/100 leukocytes;Blood;NFr
14423-8;Bilirubin.total [Mass/volume] in Synovial fluid;Bilirubin;Synovial fluid;MCnc
14747-0;Glucose [Moles/volume] in Pleural fluid;Glucose;Pleural fluid;SCnc
14764-5;Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO;Glucose^3H post 100 g glucose PO;Serum Plasma;SCnc
20442-0;Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification;Hepatitis B virus DNA;Serum;NCnc
1975-2;Bilirubin.total [Mass/volume] in Serum or Plasma;Bilirubin;Serum Plasma;MCnc
35192-4;Bilirubin.indirect [Mass or Moles/volume] in Serum or Plasma;Bilirubin.non-glucuronidated;Serum Plasma;MSCnc
15076-3;Glucose [Moles/volume] in Urine;Glucose;Urine;SCnc
26484-6;Monocytes [#/volume] in Blood;Monocytes;Blood;NCnc
4671-4;Protein C [Mass/volume] in Plasma;Protein C;Plasma;MCnc
74774-1;Glucose [Mass/volume] in Serum, Plasma or Blood;Glucose;Serum Plasma Blood;MCnc
33870-7;Bilirubin.total [Presence] in Unspecified specimen;Bilirubin;XXX;PrThr
14749-6;Glucose [Moles/volume] in Serum or Plasma;Glucose;Serum Plasma;SCnc
1742-6;Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma;Alanine aminotransferase;Serum Plasma;CCnc
26474-7;Lymphocytes [#/volume] in Blood;Lymphocytes;Blood;NCnc
3082-5;Tyrosine aminotransferase [Mass/volume] in Plasma;Tyrosine aminotransferase;Plasma;MCnc
54439-5;Calcium bilirubinate/Total in Stone;Calcium bilirubinate/Total;Calculus;MFr
